content,style,IP,total,S,C,E,H
55908,flipped_image_051,0.18113977,[0.52960736],0.18771862502130135,0.9372345600096412,0.790706304995559,[0.71943426]
55085,flipped_image_076,0.19065326,[0.39564466],0.1981654576377333,0.8734263286885988,0.08958904905650901,[0.42191392]
55085,flipped_image_119,0.18912461,[0.38525218],0.19673917645425162,0.8405451987953012,0.12234159924442593,[0.3273558]
55085,flipped_image_030,0.18294379,[0.46478567],0.19063658820225338,0.9323554711888231,0.4768589532874707,[0.36463803]
55085,flipped_image_004,0.18184215,[0.47027248],0.18957201622189782,0.9058508178831243,0.4869636436208474,[0.61373365]
55085,image_001,0.17822859,[0.41514957],0.1859302839323633,0.9349655133681378,0.0,[0.83389527]
56307,image_020,0.1793083,[0.3970982],0.18753860959846536,0.9516009434675072,-0.1941052924214261,[0.9392884]
56307,flipped_image_072,0.17827193,[0.47091866],0.18662136473416774,0.9686399695752088,0.35934787414507235,[0.66227627]
56307,image_049,0.17814998,[0.4295527],0.18659868146125486,0.8622325997985453,0.30794791071165395,[0.6278274]
56307,flipped_image_071,0.17720902,[0.46425286],0.1854729141241269,0.9358049621313128,0.3946837594320278,[0.6314471]
56307,flipped_image_088,0.17396861,[0.40627176],0.1823623694556041,0.9523943546969836,0.0,[0.5874456]
55224,image_070,0.19072586,[0.41538066],0.19599572434936346,0.981024907537814,-0.045307320724871356,[0.59742856]
55224,flipped_image_064,0.1899988,[0.47808382],0.19524518986527956,0.9921009365156784,0.29885618668084063,[0.76005036]
55224,image_055,0.18811268,[0.51904017],0.1934806140121522,0.9645271615543762,0.726178807502776,[0.48029727]
55224,image_023,0.18314336,[0.4215119],0.18870436619026992,0.9859586645771712,0.0,[0.6274418]
55224,flipped_image_119,0.18226066,[0.51480985],0.1876193784129506,0.9911995198068294,0.6708630745681581,[0.460217]
55076,image_006,0.19264352,[0.5510293],0.1979186633161588,0.9209964691576363,0.9224367524272129,[0.74811155]
55076,flipped_image_088,0.18143183,[0.419039],0.18678288036597304,0.9902901148674021,0.0,[0.571211]
55076,image_078,0.18118726,[0.35731527],0.1865756134837662,0.9113799406428493,-0.24385650516605334,[0.54383934]
55076,flipped_image_138,0.18028302,[0.41119236],0.18554062117145118,0.9192152490055382,0.0,[0.85314953]
55076,flipped_image_094,0.17955154,[0.42446178],0.18495438137204376,0.8944321538096484,0.25256786202904774,[0.5153953]
55271,image_119,0.20211327,[0.40098867],0.20930872581244087,0.9275173138726192,0.0,[0.36158216]
55271,image_134,0.20017554,[0.4140815],0.20736330904714473,0.9029540024757002,0.0,[0.79027325]
55271,flipped_image_075,0.19012105,[0.40180728],0.19719976612740578,0.925814994246753,0.0,[0.50925803]
55271,image_103,0.17855264,[0.530902],0.18570676727734287,0.8982920557697248,0.9392557413895208,[0.5534524]
55271,flipped_image_030,0.17726877,[0.5383722],0.18444941030866396,0.926115872879644,0.9893058073732393,[0.3983376]
55366,image_028,0.1936554,[0.47643235],0.19724939226032898,0.8560328968139235,0.5415647814280349,[0.79526114]
55366,flipped_image_061,0.1915673,[0.42714876],0.19513040779711674,0.8811580268610933,0.24761139744385358,[0.56188864]
55366,image_126,0.18747902,[0.40824303],0.19109556665993915,0.9269883495801307,0.0,[0.691975]
55366,flipped_image_017,0.18626943,[0.40870386],0.18984937996984008,0.927933205036096,0.06791692091819664,[0.5042335]
55366,flipped_image_069,0.18271166,[0.41122866],0.18630810564072864,0.9650222422109609,0.0,[0.5713589]
55102,flipped_image_120,0.17864323,[0.49425775],0.18825832155833622,0.9173490246839412,0.6872501190949213,[0.4367273]
55102,flipped_image_017,0.17862071,[0.50253063],0.18817080964286395,0.9147581143683932,0.6104543682722375,[0.8489928]
55102,flipped_image_079,0.1779937,[0.38847142],0.1874716734593939,0.9277896277233096,0.0,[0.32797366]
55102,flipped_image_137,0.17703594,[0.3785422],0.1867328832383324,0.8769065159729647,0.0,[0.44207627]
55102,flipped_image_093,0.17558882,[0.49766642],0.1853130559271409,0.8924074641883432,0.7117892019743376,[0.6103858]
55036,image_123,0.17932911,[0.3767615],0.18572364971797917,0.8712075522078726,0.0,[0.4507482]
55036,flipped_image_033,0.17889488,[0.43631235],0.1850963096931751,0.8862688115948838,0.36406168930250216,[0.4654861]
55036,image_089,0.17857504,[0.28524232],0.1848235495907235,0.9662833901010023,-0.920370740676214,[0.8200228]
55036,flipped_image_109,0.1781244,[0.28752232],0.18437909422780185,0.9434436172501713,-0.788064832957042,[0.61018854]
55036,flipped_image_050,0.17766213,[0.36204436],0.18395763811465055,0.845751830944835,0.0,[0.32679987]
56040,flipped_image_098,0.9985087,[0.81158483],0.9986551568670898,0.9558713168394166,-0.09131953623102794,[0.7838763]
56040,flipped_image_088,0.20279022,[0.4340226],0.20805181835227737,0.9515878414195243,0.0,[0.89040667]
56040,image_116,0.18899088,[0.33369175],0.19445006764213033,0.9386535103077186,-0.5941176320830407,[0.8797665]
56040,flipped_image_107,0.18897843,[0.3031842],0.19443841468176015,0.846300634540201,-0.6002873719016468,[0.84235823]
56040,image_139,0.18363968,[0.4893799],0.18896216674785304,0.9642794587531254,0.4396730019140046,[0.79328066]
55051,image_041,0.20428023,[0.5541913],0.2089386979570611,0.9808576944922779,0.7873655403124465,[0.7471957]
55051,image_107,0.19212316,[0.52636516],0.19685676556465131,0.9817010631408445,0.5915220999207668,[0.89396274]
55051,flipped_image_018,0.19034359,[0.47076964],0.19507587121884676,0.9125720119059237,0.4415601354005524,[0.6645217]
55051,image_147,0.18971673,[0.41823035],0.1944479390062454,0.9164717926921339,0.0,[0.92129713]
55051,flipped_image_095,0.1844459,[0.5000034],0.18915848390272755,0.9026073707211494,0.5676857374386075,[0.9897814]
56059,image_125,0.18399915,[0.39878884],0.19212450655893212,0.8939039967218106,0.0,[0.6911074]
56059,image_062,0.18174215,[0.37075534],0.18975363040925328,0.8932686510830029,-0.13103212831795275,[0.55105495]
56059,image_139,0.18147592,[0.48749363],0.1895687670647883,0.9100056376856754,0.6581235600428761,[0.4197803]
56059,image_142,0.17936912,[0.47032082],0.18759232357459268,0.8636272267998748,0.526266583804835,[0.7699296]
56059,image_053,0.17807898,[0.39046794],0.18639083523703887,0.9244872227554635,0.0,[0.39852768]
55288,image_123,0.18183827,[0.4061269],0.18687834177500232,0.9309653774273194,0.0,[0.6679619]
55288,flipped_image_033,0.181656,[0.47179168],0.18654182590554452,0.9300986580767654,0.4357079811020842,[0.6826998]
55288,flipped_image_034,0.18034881,[0.5228419],0.18533657143883198,0.951121612886649,0.7621042629381264,[0.6104294]
55288,flipped_image_109,0.18028115,[0.2767225],0.1852125860545565,0.8887462408060514,-0.825852007068618,[0.82740223]
55288,image_089,0.18003875,[0.27744186],0.18496923572980653,0.9057089541888291,-0.8992907900016894,[0.96276355]
56430,image_097,0.1801067,[0.46725392],0.18495257958661804,0.9671857414384487,0.24082742798422757,[0.9699562]
56430,image_080,0.18003751,[0.37302735],0.18483659513182193,0.8655187584619061,0.0,[0.41906828]
56430,flipped_image_030,0.17935075,[0.34064096],0.18419255900683162,0.9220642253878536,-0.34733565692215174,[0.48051506]
56430,flipped_image_070,0.1793352,[0.41907057],0.1841724826498367,0.9442138479176665,0.0979322153613228,[0.58060706]
56430,flipped_image_140,0.1789117,[0.48733974],0.18372177241952628,0.9049496234942157,0.6022661332749738,[0.6730808]
56886,image_146,0.1820704,[0.43727463],0.1911814975408753,0.9878885694228542,0.0,[0.9063464]
56886,image_063,0.1792003,[0.5222533],0.18843643584561576,0.8980671286040356,0.7828159524217817,[0.8238511]
56886,flipped_image_128,0.17910743,[0.46731395],0.18835870982259428,0.9180372336139915,0.43703950374740513,[0.64334977]
56886,image_007,0.17906582,[0.52511156],0.18834917156270994,0.9267662121050413,0.7882001332593372,[0.69354236]
56886,image_098,0.17833772,[0.47556967],0.1875744167484191,0.951664183778817,0.47875725157582066,[0.48939204]
56931,flipped_image_146,0.18023838,[0.431037],0.19093977204200727,0.9705344842841188,0.0,[0.88813543]
56931,image_089,0.17796633,[0.3468091],0.1888212958975193,0.949711660123094,-0.49461179052500853,[0.833534]
56931,image_038,0.17496261,[0.32587284],0.18575791887762974,0.9244323894412577,-0.4529958799798086,[0.4722709]
56931,image_008,0.17441818,[0.4429585],0.1856362730657271,0.9146260682582582,0.31319383209841484,[0.57546973]
56931,flipped_image_059,0.17382838,[0.42989174],0.1850785557107657,0.8948723374393395,0.22248237184023423,[0.710368]
56286,flipped_image_054,0.19696206,[0.38849553],0.20716979152727236,0.8948349491694441,0.0,[0.329203]
56286,flipped_image_002,0.17820483,[0.5328459],0.18872698176511668,0.9164874215673606,0.8418548087748503,[0.7451592]
56286,image_127,0.17731602,[0.46712968],0.18790300767128384,0.8856293407977821,0.4573245366174636,[0.77781385]
56286,flipped_image_149,0.17707066,[0.40919432],0.18746643178868924,0.9268086209181557,0.0,[0.74837005]
56286,image_121,0.17670381,[0.37661207],0.18727729903864404,0.8795172198243836,0.0,[0.3823653]
56208,flipped_image_013,0.20127442,[0.5643221],0.2082085352971414,0.9553395411113417,0.8672599601211337,[0.87054056]
56208,image_034,0.19068214,[0.4064964],0.1977863313383262,0.945367083970067,0.0,[0.47986215]
56208,flipped_image_087,0.1863165,[0.42100126],0.19344817121066435,0.981082693304559,0.0,[0.59904724]
56208,flipped_image_147,0.1850097,[0.50409836],0.19201781364478493,0.9294241958041201,0.5990893768536479,[0.7879763]
56208,flipped_image_041,0.18465534,[0.39642915],0.19160491480514835,0.9224558391510419,-0.1614100023919338,[0.96202904]
56159,image_026,0.20360465,[0.49363065],0.20871878320414092,0.9540906133073239,0.3605371079095798,[0.97927034]
56159,image_096,0.19105908,[0.419226],0.1963896800415004,0.9547212872344856,0.0,[0.69229543]
56159,flipped_image_081,0.19063875,[0.4109394],0.19597495482259802,0.9606271298161598,0.0,[0.4952761]
56159,flipped_image_050,0.18514675,[0.39620528],0.19031260058010746,0.9416517026704925,0.0,[0.37106955]
